Signal data for event #10827 with energy 999.1025453310803
<z>	<x>	<t>	<nph>
8	7	13	3758.0
8	8	13	3643.0
8	9	13	3621.0
9	0	13	4385.0
9	1	13	4430.0
9	2	13	4232.0
9	3	13	3926.0
9	4	13	3902.0
9	5	13	4155.0
9	6	13	4145.0
9	7	13	3863.0
9	8	13	3646.0
9	9	13	3659.0
0	0	14	105.0
0	1	14	112.0
0	2	14	103.0
0	3	14	110.0
0	4	14	105.0
0	5	14	111.0
0	6	14	105.0
0	7	14	104.0
0	8	14	100.0
0	9	14	104.0
1	0	14	133.0
1	1	14	111.0
1	2	14	114.0
1	3	14	119.0
1	4	14	101.0
1	5	14	115.0
1	6	14	110.0
1	7	14	114.0
1	8	14	115.0
1	9	14	115.0
2	0	14	144.0
2	1	14	147.0
2	2	14	138.0
2	3	14	133.0
2	4	14	125.0
2	5	14	129.0
2	6	14	144.0
2	7	14	160.0
2	8	14	154.0
2	9	14	155.0
3	0	14	507.0
3	1	14	499.0
3	2	14	454.0
3	3	14	403.0
3	4	14	412.0
3	5	14	445.0
3	6	14	484.0
3	7	14	515.0
3	8	14	525.0
3	9	14	541.0
4	0	14	1420.0
4	1	14	1453.0
4	2	14	1382.0
4	3	14	1277.0
4	4	14	1315.0
4	5	14	1319.0
4	6	14	1323.0
4	7	14	1326.0
4	8	14	1293.0
4	9	14	1294.0
5	0	14	2330.0
5	1	14	2341.0
5	2	14	2224.0
5	3	14	2128.0
5	4	14	2140.0
5	5	14	2104.0
5	6	14	2061.0
5	7	14	2024.0
5	8	14	1962.0
5	9	14	1898.0
6	0	14	2755.0
6	1	14	2562.0
6	2	14	2369.0
6	3	14	2362.0
6	4	14	2370.0
6	5	14	2309.0
6	6	14	2388.0
6	7	14	2454.0
6	8	14	2384.0
6	9	14	2265.0
7	0	14	2338.0
7	1	14	2352.0
7	2	14	2329.0
7	3	14	2310.0
7	4	14	2213.0
7	5	14	2252.0
7	6	14	2407.0
7	7	14	2383.0
7	8	14	2330.0
7	9	14	2349.0
8	0	14	1636.0
8	1	14	1796.0
8	2	14	2046.0
8	3	14	2189.0
8	4	14	2172.0
8	5	14	2255.0
8	6	14	2288.0
8	7	14	2159.0
8	8	14	2165.0
8	9	14	2124.0
9	0	14	1240.0
9	1	14	1368.0
9	2	14	1645.0
9	3	14	2070.0
9	4	14	2315.0
9	5	14	2293.0
9	6	14	2238.0
9	7	14	2330.0
9	8	14	2261.0
9	9	14	1958.0
0	0	15	86.0
0	1	15	82.0
0	2	15	93.0
0	3	15	90.0
0	4	15	93.0
0	5	15	90.0
0	6	15	89.0
0	7	15	85.0
0	8	15	86.0
0	9	15	73.0
1	0	15	97.0
1	1	15	105.0
1	2	15	94.0
1	3	15	106.0
1	4	15	113.0
1	5	15	115.0
1	6	15	111.0
1	7	15	112.0
1	8	15	94.0
1	9	15	111.0
2	0	15	381.0
2	1	15	354.0
2	2	15	357.0
2	3	15	364.0
2	4	15	357.0
2	5	15	370.0
2	6	15	359.0
2	7	15	338.0
2	8	15	344.0
2	9	15	337.0
3	0	15	965.0
3	1	15	986.0
3	2	15	1064.0
3	3	15	1079.0
3	4	15	1037.0
3	5	15	981.0
3	6	15	906.0
3	7	15	848.0
3	8	15	856.0
3	9	15	877.0
4	0	15	1375.0
4	1	15	1437.0
4	2	15	1572.0
4	3	15	1624.0
4	4	15	1558.0
4	5	15	1488.0
4	6	15	1399.0
4	7	15	1320.0
4	8	15	1379.0
4	9	15	1401.0
5	0	15	1363.0
5	1	15	1451.0
5	2	15	1555.0
5	3	15	1608.0
5	4	15	1583.0
5	5	15	1581.0
5	6	15	1561.0
5	7	15	1477.0
5	8	15	1450.0
5	9	15	1540.0
6	0	15	1030.0
6	1	15	1146.0
6	2	15	1235.0
6	3	15	1263.0
6	4	15	1352.0
6	5	15	1494.0
6	6	15	1538.0
6	7	15	1434.0
6	8	15	1400.0
6	9	15	1505.0
7	0	15	792.0
7	1	15	843.0
7	2	15	900.0
7	3	15	943.0
7	4	15	1101.0
7	5	15	1208.0
7	6	15	1312.0
7	7	15	1379.0
7	8	15	1503.0
7	9	15	1547.0
8	0	15	938.0
8	1	15	869.0
8	2	15	843.0
8	3	15	824.0
8	4	15	844.0
8	5	15	868.0
8	6	15	1014.0
8	7	15	1272.0
8	8	15	1498.0
8	9	15	1599.0
9	0	15	1148.0
9	1	15	952.0
9	2	15	892.0
9	3	15	788.0
9	4	15	670.0
9	5	15	710.0
9	6	15	929.0
9	7	15	1212.0
9	8	15	1478.0
9	9	15	1608.0
0	0	16	91.0
0	1	16	87.0
0	2	16	87.0
0	3	16	89.0
0	4	16	81.0
0	5	16	81.0
0	6	16	85.0
0	7	16	91.0
0	8	16	97.0
0	9	16	105.0
1	0	16	272.0
1	1	16	281.0
1	2	16	294.0
1	3	16	288.0
1	4	16	303.0
1	5	16	276.0
1	6	16	258.0
1	7	16	256.0
1	8	16	269.0
1	9	16	264.0
2	0	16	744.0
2	1	16	757.0
2	2	16	750.0
2	3	16	746.0
2	4	16	748.0
2	5	16	706.0
2	6	16	684.0
2	7	16	705.0
2	8	16	673.0
2	9	16	653.0
3	0	16	1071.0
3	1	16	1050.0
3	2	16	1000.0
3	3	16	1020.0
3	4	16	1020.0
3	5	16	1031.0
3	6	16	1084.0
3	7	16	1090.0
3	8	16	1053.0
3	9	16	1005.0
4	0	16	925.0
4	1	16	917.0
4	2	16	919.0
4	3	16	939.0
4	4	16	956.0
4	5	16	1027.0
4	6	16	1091.0
4	7	16	1134.0
4	8	16	1068.0
4	9	16	1080.0
5	0	16	763.0
5	1	16	692.0
5	2	16	726.0
5	3	16	751.0
5	4	16	774.0
5	5	16	767.0
5	6	16	842.0
5	7	16	956.0
5	8	16	990.0
5	9	16	1008.0
6	0	16	758.0
6	1	16	693.0
6	2	16	664.0
6	3	16	630.0
6	4	16	636.0
6	5	16	630.0
6	6	16	662.0
6	7	16	745.0
6	8	16	813.0
6	9	16	802.0
7	0	16	745.0
7	1	16	720.0
7	2	16	731.0
7	3	16	736.0
7	4	16	692.0
7	5	16	643.0
7	6	16	601.0
7	7	16	585.0
7	8	16	515.0
7	9	16	496.0
8	0	16	645.0
8	1	16	702.0
8	2	16	772.0
8	3	16	865.0
8	4	16	835.0
8	5	16	689.0
8	6	16	593.0
8	7	16	477.0
8	8	16	339.0
8	9	16	277.0
9	0	16	543.0
9	1	16	696.0
9	2	16	815.0
9	3	16	911.0
9	4	16	881.0
9	5	16	734.0
9	6	16	610.0
9	7	16	420.0
9	8	16	261.0
9	9	16	173.0
0	0	17	176.0
0	1	17	188.0
0	2	17	204.0
0	3	17	213.0
0	4	17	231.0
0	5	17	224.0
0	6	17	217.0
0	7	17	205.0
0	8	17	192.0
0	9	17	180.0
1	0	17	521.0
1	1	17	518.0
1	2	17	505.0
1	3	17	492.0
1	4	17	489.0
1	5	17	527.0
1	6	17	528.0
1	7	17	517.0
1	8	17	504.0
1	9	17	505.0
2	0	17	673.0
2	1	17	680.0
2	2	17	684.0
2	3	17	667.0
2	4	17	687.0
2	5	17	717.0
2	6	17	735.0
2	7	17	709.0
2	8	17	734.0
2	9	17	729.0
3	0	17	576.0
3	1	17	572.0
3	2	17	573.0
3	3	17	580.0
3	4	17	614.0
3	5	17	638.0
3	6	17	646.0
3	7	17	697.0
3	8	17	720.0
3	9	17	718.0
4	0	17	508.0
4	1	17	478.0
4	2	17	464.0
4	3	17	467.0
4	4	17	486.0
4	5	17	497.0
4	6	17	493.0
4	7	17	542.0
4	8	17	558.0
4	9	17	529.0
5	0	17	418.0
5	1	17	502.0
5	2	17	511.0
5	3	17	516.0
5	4	17	515.0
5	5	17	497.0
5	6	17	414.0
5	7	17	342.0
5	8	17	340.0
5	9	17	299.0
6	0	17	443.0
6	1	17	501.0
6	2	17	509.0
6	3	17	533.0
6	4	17	489.0
6	5	17	456.0
6	6	17	370.0
6	7	17	283.0
6	8	17	224.0
6	9	17	193.0
7	0	17	530.0
7	1	17	506.0
7	2	17	457.0
7	3	17	416.0
7	4	17	396.0
7	5	17	374.0
7	6	17	342.0
7	7	17	303.0
7	8	17	261.0
7	9	17	213.0
8	0	17	549.0
8	1	17	517.0
8	2	17	430.0
8	3	17	316.0
8	4	17	280.0
8	5	17	307.0
8	6	17	312.0
8	7	17	320.0
8	8	17	333.0
8	9	17	267.0
9	0	17	558.0
9	1	17	529.0
9	2	17	406.0
9	3	17	291.0
9	4	17	220.0
9	5	17	275.0
9	6	17	303.0
9	7	17	335.0
9	8	17	367.0
9	9	17	318.0
0	0	18	520.0
0	1	18	506.0
0	2	18	500.0
0	3	18	500.0
0	4	18	480.0
0	5	18	483.0
0	6	18	496.0
0	7	18	521.0
0	8	18	538.0
0	9	18	553.0
1	0	18	488.0
1	1	18	489.0
1	2	18	503.0
1	3	18	511.0
1	4	18	499.0
1	5	18	466.0
1	6	18	480.0
1	7	18	503.0
1	8	18	528.0
1	9	18	551.0
2	0	18	430.0
2	1	18	434.0
2	2	18	447.0
2	3	18	439.0
2	4	18	437.0
2	5	18	442.0
2	6	18	456.0
2	7	18	473.0
2	8	18	493.0
2	9	18	517.0
3	0	18	323.0
3	1	18	362.0
3	2	18	376.0
3	3	18	375.0
3	4	18	379.0
3	5	18	374.0
3	6	18	341.0
3	7	18	318.0
3	8	18	321.0
3	9	18	325.0
4	0	18	357.0
4	1	18	379.0
4	2	18	358.0
4	3	18	351.0
4	4	18	343.0
4	5	18	319.0
4	6	18	278.0
4	7	18	240.0
4	8	18	211.0
4	9	18	176.0
5	0	18	378.0
5	1	18	349.0
5	2	18	305.0
5	3	18	261.0
5	4	18	231.0
5	5	18	215.0
5	6	18	229.0
