Signal data for event #13266
<Z>	<X>	<TIMESTEP>	<PHOTONS>
9	2	20	1.0
9	3	20	9.0
9	4	20	17.0
9	5	20	16.0
9	6	20	13.0
9	7	20	10.0
9	8	20	3.0
9	9	20	1.0
0	0	21	16.0
0	1	21	17.0
0	2	21	20.0
0	3	21	22.0
0	4	21	18.0
0	5	21	14.0
0	6	21	13.0
0	7	21	15.0
0	8	21	16.0
0	9	21	16.0
1	1	21	3.0
1	2	21	8.0
1	3	21	10.0
1	4	21	10.0
1	5	21	9.0
1	6	21	10.0
1	7	21	11.0
1	8	21	14.0
1	9	21	11.0
2	0	21	8.0
2	1	21	10.0
2	2	21	10.0
2	3	21	10.0
2	4	21	7.0
2	5	21	4.0
2	6	21	4.0
2	7	21	5.0
2	8	21	6.0
2	9	21	3.0
3	0	21	14.0
3	1	21	11.0
3	2	21	10.0
3	3	21	10.0
3	4	21	6.0
3	5	21	2.0
4	0	21	6.0
4	1	21	2.0
4	2	21	5.0
4	3	21	7.0
4	4	21	6.0
4	5	21	5.0
4	6	21	4.0
4	7	21	2.0
5	3	21	3.0
5	4	21	5.0
5	5	21	7.0
5	6	21	6.0
5	7	21	6.0
5	8	21	4.0
5	9	21	2.0
6	5	21	4.0
6	6	21	6.0
6	7	21	7.0
6	8	21	6.0
6	9	21	8.0
7	6	21	1.0
7	7	21	6.0
7	8	21	9.0
7	9	21	8.0
8	1	21	23.0
8	2	21	76.0
8	3	21	114.0
8	4	21	97.0
8	5	21	60.0
8	6	21	24.0
8	7	21	4.0
8	8	21	10.0
8	9	21	9.0
9	7	21	3.0
9	8	21	8.0
9	9	21	9.0
0	0	22	7.0
0	1	22	6.0
0	2	22	6.0
0	3	22	6.0
0	4	22	10.0
0	5	22	16.0
0	6	22	15.0
0	7	22	12.0
0	8	22	10.0
0	9	22	10.0
1	0	22	11.0
1	1	22	9.0
1	2	22	8.0
1	3	22	8.0
1	4	22	7.0
1	5	22	6.0
1	6	22	6.0
1	7	22	4.0
1	8	22	2.0
1	9	22	2.0
2	0	22	3.0
2	1	22	2.0
2	2	22	2.0
2	3	22	3.0
2	4	22	3.0
2	5	22	2.0
2	6	22	2.0
2	7	22	1.0
3	3	22	1.0
3	4	22	1.0
3	5	22	2.0
3	6	22	3.0
3	7	22	3.0
3	8	22	2.0
3	9	22	3.0
4	6	22	1.0
4	7	22	3.0
4	8	22	4.0
4	9	22	4.0
5	5	22	1.0
5	6	22	1.0
5	7	22	1.0
5	8	22	2.0
5	9	22	3.0
6	4	22	1.0
6	5	22	1.0
6	6	22	1.0
6	7	22	1.0
6	8	22	1.0
7	0	22	21.0
7	1	22	17.0
7	2	22	21.0
7	3	22	26.0
7	4	22	25.0
7	5	22	21.0
7	6	22	18.0
7	7	22	13.0
7	8	22	5.0
7	9	22	3.0
8	0	22	59.0
8	1	22	55.0
8	2	22	40.0
8	3	22	43.0
8	4	22	39.0
8	5	22	35.0
8	6	22	37.0
8	7	22	37.0
8	8	22	16.0
8	9	22	13.0
9	0	22	90.0
9	1	22	96.0
9	2	22	108.0
9	3	22	130.0
9	4	22	123.0
9	5	22	105.0
9	6	22	79.0
9	7	22	53.0
9	8	22	23.0
9	9	22	9.0
0	0	23	7.0
0	1	23	8.0
0	2	23	8.0
0	3	23	7.0
0	4	23	5.0
0	5	23	3.0
0	6	23	2.0
0	7	23	3.0
0	8	23	3.0
0	9	23	3.0
1	0	23	4.0
1	1	23	5.0
1	2	23	6.0
1	3	23	6.0
1	4	23	8.0
1	5	23	9.0
1	6	23	9.0
1	7	23	9.0
1	8	23	9.0
1	9	23	10.0
2	0	23	4.0
2	1	23	4.0
2	2	23	4.0
2	3	23	4.0
2	4	23	4.0
2	5	23	5.0
2	6	23	6.0
2	7	23	7.0
2	8	23	8.0
2	9	23	7.0
3	4	23	1.0
3	5	23	1.0
3	6	23	1.0
3	7	23	1.0
3	8	23	2.0
3	9	23	1.0
4	2	23	1.0
4	3	23	1.0
4	4	23	1.0
4	5	23	1.0
4	6	23	1.0
5	1	23	1.0
5	2	23	1.0
5	3	23	1.0
5	4	23	1.0
6	0	23	7.0
6	1	23	6.0
6	2	23	7.0
6	3	23	6.0
6	4	23	4.0
6	5	23	4.0
6	6	23	4.0
6	7	23	3.0
6	8	23	3.0
6	9	23	4.0
7	0	23	5.0
7	1	23	10.0
7	2	23	9.0
7	3	23	7.0
7	4	23	6.0
7	5	23	7.0
7	6	23	6.0
7	7	23	4.0
7	8	23	6.0
7	9	23	9.0
8	0	23	14.0
8	1	23	14.0
8	2	23	12.0
8	3	23	10.0
8	4	23	10.0
8	5	23	8.0
8	6	23	8.0
8	7	23	6.0
8	8	23	20.0
8	9	23	16.0
9	0	23	16.0
9	1	23	22.0
9	2	23	22.0
9	3	23	15.0
9	4	23	11.0
9	5	23	11.0
9	6	23	11.0
9	7	23	10.0
9	8	23	25.0
9	9	23	33.0
2	4	24	1.0
2	5	24	1.0
2	6	24	1.0
2	7	24	1.0
2	8	24	1.0
2	9	24	1.0
3	1	24	1.0
3	2	24	1.0
3	3	24	1.0
3	4	24	1.0
3	5	24	2.0
3	6	24	2.0
3	7	24	2.0
3	8	24	2.0
3	9	24	2.0
5	3	24	1.0
5	4	24	1.0
5	5	24	1.0
6	1	24	1.0
6	2	24	1.0
6	3	24	2.0
6	4	24	1.0
6	5	24	1.0
6	6	24	1.0
6	7	24	2.0
7	1	24	1.0
7	2	24	2.0
7	3	24	3.0
7	4	24	3.0
7	5	24	1.0
7	6	24	3.0
7	7	24	2.0
7	8	24	1.0
8	0	24	2.0
8	1	24	1.0
8	2	24	2.0
8	3	24	3.0
8	4	24	4.0
8	5	24	4.0
8	6	24	3.0
8	7	24	2.0
8	8	24	1.0
9	3	24	3.0
9	4	24	3.0
9	5	24	2.0
9	6	24	3.0
9	7	24	2.0
6	0	25	1.0
6	1	25	1.0
6	2	25	1.0
6	3	25	1.0
6	4	25	1.0
6	5	25	1.0
6	6	25	1.0
6	7	25	1.0
6	8	25	1.0
7	0	25	6.0
7	1	25	6.0
7	2	25	5.0
7	3	25	4.0
7	4	25	4.0
7	5	25	4.0
7	6	25	4.0
7	7	25	5.0
7	8	25	4.0
7	9	25	2.0
8	0	25	7.0
8	1	25	8.0
8	2	25	7.0
8	3	25	6.0
8	4	25	5.0
8	5	25	4.0
8	6	25	5.0
8	7	25	6.0
8	8	25	7.0
8	9	25	5.0
9	0	25	11.0
9	1	25	11.0
9	2	25	10.0
9	3	25	9.0
9	4	25	8.0
9	5	25	7.0
9	6	25	8.0
9	7	25	9.0
9	8	25	8.0
9	9	25	6.0
5	0	26	1.0
5	1	26	1.0
5	2	26	1.0
5	3	26	1.0
5	4	26	1.0
5	5	26	1.0
5	6	26	1.0
5	7	26	1.0
5	8	26	1.0
5	9	26	1.0
6	0	26	1.0
6	1	26	1.0
6	2	26	1.0
6	3	26	2.0
6	4	26	2.0
6	5	26	3.0
6	6	26	1.0
6	7	26	1.0
6	8	26	1.0
6	9	26	2.0
7	0	26	1.0
7	1	26	1.0
7	2	26	1.0
7	3	26	2.0
7	4	26	2.0
7	5	26	2.0
7	6	26	2.0
7	7	26	2.0
7	8	26	1.0
7	9	26	2.0
8	0	26	2.0
8	1	26	2.0
8	2	26	2.0
8	3	26	3.0
8	4	26	4.0
8	5	26	5.0
8	6	26	4.0
8	7	26	3.0
8	8	26	2.0
8	9	26	2.0
9	0	26	1.0
9	1	26	1.0
9	2	26	1.0
9	3	26	2.0
9	4	26	5.0
9	5	26	6.0
9	6	26	5.0
9	7	26	2.0
9	8	26	1.0
9	9	26	2.0
9	4	32	37.0
9	5	32	55.0
9	6	32	37.0
8	1	33	2.0
8	2	33	3.0
8	3	33	4.0
8	4	33	5.0
8	5	33	6.0
8	6	33	5.0
8	7	33	4.0
8	8	33	3.0
8	9	33	2.0
9	0	33	3.0
9	1	33	6.0
9	2	33	11.0
9	3	33	21.0
9	4	33	5.0
9	5	33	6.0
9	6	33	5.0
9	7	33	21.0
9	8	33	12.0
9	9	33	8.0
7	2	34	1.0
7	3	34	1.0
7	4	34	1.0
7	5	34	1.0
7	6	34	1.0
7	7	34	1.0
7	8	34	1.0
8	0	34	2.0
8	1	34	1.0
8	2	34	1.0
8	3	34	1.0
8	4	34	1.0
8	5	34	1.0
8	6	34	1.0
8	7	34	2.0
8	8	34	2.0
8	9	34	1.0
9	0	34	2.0
9	1	34	2.0
9	2	34	1.0
9	6	34	1.0
9	7	34	2.0
9	8	34	1.0
9	9	34	1.0
9	5	36	1.0
7	0	59	4.0
7	1	59	7.0
7	2	59	11.0
7	3	59	7.0
7	4	59	3.0
7	5	59	1.0
6	0	60	2.0
6	1	60	1.0
6	2	60	1.0
6	3	60	1.0
6	4	60	1.0
6	5	60	1.0
7	1	60	1.0
7	6	60	1.0
8	0	60	2.0
8	1	60	1.0
8	2	60	1.0
8	3	60	1.0
8	4	60	1.0
8	5	60	1.0
